electricity_consumption_GWh,HYDRO,WIND,SOLAR,Thermal,Cummulative_Connections,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,month,quarter,month_sin,month_cos
804.9756421800002,228.86186423200004,179.24109299999975,31.072391599999996,125.78816900000011,8789181.0,832.2084461899994,760.72600874,827.975292047804,799.3033657033333,805.8063748337914,4,2,0.8660254037844387,-0.4999999999999998
849.6353824355119,284.037333432,152.7638930000004,33.23985860000001,79.6764469999999,8860593.0,804.9756421800002,832.2084461899994,760.72600874,828.9398236018372,812.9858077727828,5,2,0.49999999999999994,-0.8660254037844387
850.7704657667418,264.857352414,181.06794799999972,28.214846599999994,83.08829500000009,8919584.0,849.6353824355119,804.9756421800002,832.2084461899994,835.1271634607514,821.0485395600095,6,2,1.2246467991473532e-16,-1.0
865.5029272700002,252.389511756,208.4039240000001,24.737173799999994,104.33370700000002,8946102.0,850.7704657667418,849.6353824355119,804.9756421800002,855.302925157418,827.3031454303756,7,3,-0.4999999999999997,-0.8660254037844388
831.0893670235217,256.76320307200007,185.69790300000005,22.425731599999985,120.53696999999984,8967950.0,865.5029272700002,850.7704657667418,849.6353824355119,849.120920020088,839.0303718109626,8,3,-0.8660254037844385,-0.5000000000000004
856.8460213817596,243.88913823999997,200.557338,26.321638,118.113487,8986142.0,831.0893670235217,865.5029272700002,850.7704657667418,851.1461052250938,843.1366343429227,9,3,-1.0,-1.8369701987210297e-16
863.554141566,247.41410725400002,237.49293700000032,38.772006999999995,96.40293729999995,8996857.0,856.8460213817596,831.0893670235217,865.5029272700002,850.4965099904271,852.8997175739227,10,4,-0.8660254037844386,0.5000000000000001
856.6729186000007,233.018348192,177.12525399999998,38.806177000000005,123.62311400000013,9002677.0,863.554141566,856.8460213817596,831.0893670235217,859.02436051592,854.072640268004,11,4,-0.5000000000000004,0.8660254037844384
831.1608722700003,220.92200814800003,139.35089699999966,42.412648800000014,132.91976400000007,9010856.0,856.6729186000007,863.554141566,856.8460213817596,850.4626441453337,850.8043746852137,12,4,-2.4492935982947064e-16,1.0
872.8614151499996,185.20439634200002,203.3117829999999,46.68658639999999,107.3182349999998,9021113.0,831.1608722700003,856.6729186000007,863.554141566,853.5650686733335,852.0307893318803,1,1,0.49999999999999994,0.8660254037844387
